"filename", "language", "JSON with Comments", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\parkpulse\App.js", "JavaScript", 0, 0, 0, 124, 10, 8, 142
"c:\parkpulse\Index.js", "JavaScript", 0, 0, 0, 3, 1, 2, 6
"c:\parkpulse\README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"c:\parkpulse\app.json", "JSON", 0, 0, 15, 0, 16, 0, 31
"c:\parkpulse\babel.config.js", "JavaScript", 0, 0, 0, 6, 0, 1, 7
"c:\parkpulse\components\Bangalore.js", "JavaScript", 0, 0, 0, 125, 4, 15, 144
"c:\parkpulse\components\Calendar.js", "JavaScript", 0, 0, 0, 94, 7, 8, 109
"c:\parkpulse\components\Chennai.js", "JavaScript", 0, 0, 0, 119, 1, 14, 134
"c:\parkpulse\components\Coimbatore.js", "JavaScript", 0, 0, 0, 138, 1, 17, 156
"c:\parkpulse\components\Home.js", "JavaScript", 0, 0, 0, 148, 1, 17, 166
"c:\parkpulse\components\ThirdPage.js", "JavaScript", 0, 0, 0, 220, 6, 22, 248
"c:\parkpulse\components\Ticketpage.js", "JavaScript", 0, 0, 0, 117, 4, 17, 138
"c:\parkpulse\components\TimeToggle.js", "JavaScript", 0, 0, 0, 100, 6, 13, 119
"c:\parkpulse\components\TimeToggle2.js", "JavaScript", 0, 0, 0, 100, 6, 13, 119
"c:\parkpulse\components\react-native.config.js", "JavaScript", 0, 0, 0, 7, 0, 0, 7
"c:\parkpulse\components\second_page.js", "JavaScript", 0, 0, 0, 325, 20, 28, 373
"c:\parkpulse\package-lock.json", "JSON", 0, 0, 18310, 0, 0, 1, 18311
"c:\parkpulse\package.json", "JSON", 0, 0, 53, 0, 0, 1, 54
"c:\parkpulse\react-native.config.js", "JavaScript", 0, 0, 0, 7, 0, 0, 7
"c:\parkpulse\tsconfig.json", "JSON with Comments", 4, 0, 0, 0, 0, 1, 5
"Total", "-", 4, 2, 18378, 1633, 83, 179, 20279
